"ActiveCells","POR","PERMI","PERMJ","PERMK","Pressure[0]","Pressure[366]","Pressure[731]","Pressure[1096]","Pressure[1461]","Pressure[1827]","Pressure[2192]","Pressure[2557]","Pressure[2699.793]","CO2Gas[0]","CO2Gas[366]","CO2Gas[731]","CO2Gas[1096]","CO2Gas[1461]","CO2Gas[1827]","CO2Gas[2192]","CO2Gas[2557]","CO2Gas[2699.793]","CO2Oil[0]","CO2Oil[366]","CO2Oil[731]","CO2Oil[1096]","CO2Oil[1461]","CO2Oil[1827]","CO2Oil[2192]","CO2Oil[2557]","CO2Oil[2699.793]","CO2Water[0]","CO2Water[366]","CO2Water[731]","CO2Water[1096]","CO2Water[1461]","CO2Water[1827]","CO2Water[2192]","CO2Water[2557]","CO2Water[2699.793]","Cell Type"
1,0.0681,0.5897,0.5897,0.05897,16450,15394,14666.9,14144.7,13892.1,13684,13586.6,13509.4,13487,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.1198,0.7926,0.7926,0.07926,16450,15189.7,14461.6,13944.4,13712.6,13506.6,13417.6,13341.3,13320,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0805,0.9127,0.9127,0.09127,16450,15233.7,14439.4,13902.4,13657.9,13453.8,13361.2,13283.8,13261.4,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.032,0.9768,0.9768,0.09768,16450,15335.5,14471.3,13912.4,13651.3,13451,13353.4,13275.2,13251.6,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0354,0.8693,0.8693,0.08693,16450,15442.7,14473.7,13891,13614.8,13422.1,13320.4,13241.3,13216.2,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.6268,0.6268,0.06268,16450,15462.7,14412.2,13817,13536.2,13352.8,13250.2,13171.3,13145.4,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.8732,0.8732,0.08732,16450,15460.7,14357.5,13757.1,13476.6,13301.2,13199,13120.5,13094.2,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0392,0.5352,0.5352,0.05352,16450,15452.9,14329,13728.4,13449.8,13278.6,13177,13098.4,13072,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0484,0.1018,0.1018,0.01018,16450,15407.7,14248.5,13652.7,13381.9,13220.6,13120.9,13042.4,13015.6,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0773,0.7767,0.7767,0.07767,16450,15307,14099.1,13511.3,13256.1,13111.7,13016.3,12938.6,12911.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.084,0.476,0.476,0.0476,16450,15263.4,14047.5,13468.5,13222.1,13085,12992,12914.9,12887.8,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0639,0.7006,0.7006,0.07006,16450,15249.4,14029.9,13455,13212.6,13078.8,12987,12910.1,12883.1,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0866,2.0974,2.0974,0.20974,16450,15286.7,14066.8,13493.1,13252.1,13119.6,13028.3,12951.8,12924.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.02,4.4956,4.4956,0.44956,16450,16091.6,16011.5,15933.9,15904.8,15862.1,15854.1,15829.3,15827.6,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,12
1,0.0302,3.3991,3.3991,0.33991,16450,15837,15756,15677.8,15648.2,15605.3,15597,15572.3,15570.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0229,3.8232,3.8232,0.38232,16450,15876.7,15792.9,15713.3,15682.6,15639.2,15630.5,15605.6,15603.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0694,0.6997,0.6997,0.06997,16450,15868.6,15778.2,15694,15660.5,15615.2,15605.4,15579.8,15577.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0312,0.8422,0.8422,0.08422,16450,15875.6,15766.4,15670.6,15630,15581,15568.4,15542.1,15539.1,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0876,1.5476,1.5476,0.15476,16450,15919.3,15793.4,15687.8,15640.6,15588.6,15573.2,15546.2,15542.6,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.362,0.362,0.0362,16450,15923.8,15765,15638,15577,15518.1,15497.6,15469.5,15464.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0518,0.1286,0.1286,0.01286,16450,15911.6,15689,15520.8,15432.8,15360.1,15328.9,15296.8,15289.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.1339,0.1339,0.01339,16450,15944.5,15655,15439.7,15319.7,15228.5,15183.4,15145.4,15135.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0635,0.1581,0.1581,0.01581,16450,15975.2,15563.9,15262.1,15085,14960.5,14891.1,14841.5,14826.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0595,0.1436,0.1436,0.01436,16450,16000.6,15472.2,15087.1,14858.3,14704.3,14616.3,14558.9,14540.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0592,0.1283,0.1283,0.01283,16450,16031.8,15463.6,15046.9,14797.3,14630.6,14534,14472.6,14453,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0511,0.2033,0.2033,0.02033,16450,16034.5,15442.5,15006.3,14744.5,14569.5,14467.5,14402.8,14382.1,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.3895,0.3895,0.03895,16450,16017.6,15400.7,14947.5,14676.3,14494.4,14388.5,14321,14299.3,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.0679,0.0679,0.00679,16450,15969.9,15316.3,14838.3,14556.5,14366.5,14256.7,14186.2,14163.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.2097,0.2097,0.02097,16450,15942,15247.6,14741.1,14448.3,14247.5,14133.3,14058.6,14034.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.4319,0.4319,0.04319,16450,15883.6,15149.8,14619,14320.7,14112.2,13997.1,13920.6,13896.3,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0392,0.2495,0.2495,0.02495,16450,15818.3,15070.5,14532.6,14235.9,14024.8,13910.4,13832.6,13808.2,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0726,0.3512,0.3512,0.03512,16450,15636.3,14880.7,14342.1,14054.3,13843,13732.1,13654,13629.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.096,0.4339,0.4339,0.04339,16450,15449.1,14691.3,14154.2,13879.4,13669.8,13564.4,13486.8,13463.2,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0995,0.4968,0.4968,0.04968,16450,15336.3,14558.1,14018.6,13757,13549,13449.4,13371.7,13348.6,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0836,0.5564,0.5564,0.05564,16450,15333.1,14504.8,13951.1,13685.5,13479.2,13379,13300.5,13276.8,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0301,0.1785,0.1785,0.01785,16450,15345.8,14444.8,13871.6,13595.8,13394.1,13291.5,13212.3,13187.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0273,0.5635,0.5635,0.05635,16450,15340,14346.7,13756.1,13473.7,13281.3,13177.6,13098.2,13072.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0644,0.7342,0.7342,0.07342,16450,15335.7,14278.3,13679.7,13395.7,13211.7,13108.2,13029.1,13003.1,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0429,0.1611,0.1611,0.01611,16450,15331.3,14217.4,13614.9,13333.2,13158.9,13056.3,12977.8,12951.4,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
