"ActiveCells","POR","PERMI","PERMJ","PERMK","Pressure[0]","Pressure[366]","Pressure[731]","Pressure[1096]","Pressure[1461]","Pressure[1827]","Pressure[2122.007]","CO2Gas[0]","CO2Gas[366]","CO2Gas[731]","CO2Gas[1096]","CO2Gas[1461]","CO2Gas[1827]","CO2Gas[2122.007]","CO2Oil[0]","CO2Oil[366]","CO2Oil[731]","CO2Oil[1096]","CO2Oil[1461]","CO2Oil[1827]","CO2Oil[2122.007]","CO2Water[0]","CO2Water[366]","CO2Water[731]","CO2Water[1096]","CO2Water[1461]","CO2Water[1827]","CO2Water[2122.007]","Cell Type"
1,0.0642,1.5994,1.5994,0.15994,16450,15108,14054,13559,13358,13211,13132,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0449,0.368,0.368,0.0368,16450,14941,13823,13364,13178,13051,12973,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0461,1.6675,1.6675,0.16675,16450,14892,13756,13306,13124,13002,12924,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.02,1.6037,1.6037,0.16037,16450,14882,13741,13295,13114,12994,12915,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0341,6.7241,6.7241,0.67241,16450,14922,13779,13335,13154,13034,12956,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.02,0.6486,0.6486,0.06486,16450,15656,15555,15433,15433,15373,15387,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1064,0.4002,0.4002,0.04002,16450,15386,15280,15154,15153,15091,15105,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.044,0.3084,0.3084,0.03084,16450,15322,15191,15042,15040,14969,14985,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0555,1.8342,1.8342,0.18342,16450,15238,15096,14928,14927,14847,14864,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.102,3.8841,3.8841,0.38841,16450,15316,15121,14939,14918,14839,14846,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1067,1.6618,1.6618,0.16618,16450,15379,15153,14959,14928,14847,14849,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1198,2.8295,2.8295,0.28295,16450,15402,15153,14950,14911,14830,14830,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0957,7.1614,7.1614,0.71614,16450,15422,15158,14948,14906,14823,14822,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0712,15.546,15.546,1.5546,16450,15490,15221,15009,14965,14882,14880,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0786,8.6824,8.6824,0.86824,16450,15604,15328,15113,15066,14982,14978,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1212,0.7982,0.7982,0.07982,16450,15714,15399,15165,15105,15016,15006,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0513,0.3001,0.3001,0.03001,16450,15749,15331,15047,14955,14857,14836,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1407,0.1743,0.1743,0.01743,16450,15720,15166,14807,14667,14548,14507,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1197,0.3859,0.3859,0.03859,16450,15673,15014,14594,14413,14272,14213,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0977,1.4777,1.4777,0.14777,16450,15649,14944,14496,14301,14151,14085,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0719,3.824,3.824,0.3824,16450,15681,14950,14490,14288,14134,14065,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0629,2.2506,2.2506,0.22506,16450,15671,14902,14422,14213,14053,13981,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1213,2.5272,2.5272,0.25272,16450,15601,14810,14319,14106,13941,13866,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0993,1.0536,1.0536,0.10536,16450,15364,14537,14030,13822,13652,13577,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0815,1.825,1.825,0.1825,16450,15202,14361,13849,13645,13472,13398,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0688,1.0464,1.0464,0.10464,16450,15186,14330,13815,13610,13436,13361,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0797,0.4416,0.4416,0.04416,16450,15187,14298,13778,13570,13399,13322,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0413,0.2357,0.2357,0.02357,16450,15154,14232,13711,13501,13333,13255,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.02,3.038,3.038,0.3038,16450,15104,14155,13636,13427,13262,13184,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0904,0.9054,0.9054,0.09054,16450,15082,14111,13593,13383,13220,13141,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0863,0.967,0.967,0.0967,16450,15069,14071,13558,13349,13190,13110,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0768,1.9761,1.9761,0.19761,16450,15043,14020,13515,13309,13156,13076,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0678,1.0359,1.0359,0.10359,16450,14964,13894,13406,13206,13064,12985,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0628,1.0896,1.0896,0.10896,16450,14839,13717,13257,13070,12944,12865,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0496,3.4771,3.4771,0.34771,16450,14804,13665,13217,13035,12913,12835,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.02,10.37,10.37,1.037,16450,14815,13673,13228,13047,12927,12849,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0259,9.4707,9.4707,0.94707,16450,14870,13728,13283,13103,12983,12905,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0282,1.6668,1.6668,0.16668,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0969,0.6945,0.6945,0.06945,16450,15691,15632,15545,15552,15506,15520,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0921,0.8044,0.8044,0.08044,16450,15470,15391,15283,15289,15233,15249,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1159,0.9128,0.9128,0.09128,16450,15382,15267,15130,15128,15060,15075,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0881,2.8386,2.8386,0.28386,16450,15287,15145,14987,14983,14908,14923,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0626,2.6385,2.6385,0.26385,16450,15270,15095,14922,14907,14830,14839,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0933,2.1762,2.1762,0.21762,16450,15280,15076,14893,14868,14790,14795,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0871,1.5726,1.5726,0.15726,16450,15276,15037,14839,14803,14722,14723,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.054,2.4444,2.4444,0.24444,16450,15322,15057,14847,14805,14722,14720,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0885,12.283,12.283,1.2283,16450,15427,15157,14944,14900,14817,14814,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0912,4.4273,4.4273,0.44273,16450,15551,15272,15057,15009,14925,14921,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0892,0.7839,0.7839,0.07839,16450,15665,15348,15116,15057,14970,14961,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1092,0.1598,0.1598,0.01598,16450,15694,15274,14991,14899,14804,14784,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1411,0.1497,0.1497,0.01497,16450,15668,15123,14766,14622,14503,14462,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0826,0.2947,0.2947,0.02947,16450,15622,14968,14546,14360,14217,14156,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0956,0.3962,0.3962,0.03962,16450,15573,14862,14409,14207,14055,13987,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0746,0.5137,0.5137,0.05137,16450,15525,14783,14314,14107,13950,13879,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0395,0.2707,0.2707,0.02707,16450,15478,14706,14224,14013,13852,13779,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0627,0.6662,0.6662,0.06662,16450,15435,14638,14144,13929,13765,13690,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1077,0.2833,0.2833,0.02833,16450,15361,14527,14015,13795,13627,13550,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0897,0.4607,0.4607,0.04607,16450,15287,14418,13890,13664,13491,13411,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0364,0.2244,0.2244,0.02244,16450,15275,14370,13828,13596,13420,13338,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.02,0.1675,0.1675,0.01675,16450,15244,14311,13770,13542,13369,13287,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.02,0.2258,0.2258,0.02258,16450,15199,14240,13700,13474,13304,13222,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0202,0.1678,0.1678,0.01678,16450,15125,14139,13602,13378,13212,13130,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0369,0.3836,0.3836,0.03836,16450,15040,14037,13512,13296,13134,13053,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0846,0.4251,0.4251,0.04251,16450,15008,13989,13473,13262,13106,13025,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0513,0.2113,0.2113,0.02113,16450,14957,13895,13394,13189,13042,12962,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0395,1.4256,1.4256,0.14256,16450,14837,13733,13256,13062,12928,12848,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
