"ActiveCells","POR","PERMI","PERMJ","PERMK","Pressure[0]","Pressure[366]","Pressure[731]","Pressure[1096]","Pressure[1461]","Pressure[1827]","Pressure[2192]","Pressure[2557]","Pressure[2922]","Pressure[3288]","Pressure[3653]","Pressure[4018]","Pressure[4383]","Pressure[4749]","Pressure[5114]","Pressure[5479]","Pressure[5844]","Pressure[6100.842]","CO2Gas[0]","CO2Gas[366]","CO2Gas[731]","CO2Gas[1096]","CO2Gas[1461]","CO2Gas[1827]","CO2Gas[2192]","CO2Gas[2557]","CO2Gas[2922]","CO2Gas[3288]","CO2Gas[3653]","CO2Gas[4018]","CO2Gas[4383]","CO2Gas[4749]","CO2Gas[5114]","CO2Gas[5479]","CO2Gas[5844]","CO2Gas[6100.842]","CO2Oil[0]","CO2Oil[366]","CO2Oil[731]","CO2Oil[1096]","CO2Oil[1461]","CO2Oil[1827]","CO2Oil[2192]","CO2Oil[2557]","CO2Oil[2922]","CO2Oil[3288]","CO2Oil[3653]","CO2Oil[4018]","CO2Oil[4383]","CO2Oil[4749]","CO2Oil[5114]","CO2Oil[5479]","CO2Oil[5844]","CO2Oil[6100.842]","CO2Water[0]","CO2Water[366]","CO2Water[731]","CO2Water[1096]","CO2Water[1461]","CO2Water[1827]","CO2Water[2192]","CO2Water[2557]","CO2Water[2922]","CO2Water[3288]","CO2Water[3653]","CO2Water[4018]","CO2Water[4383]","CO2Water[4749]","CO2Water[5114]","CO2Water[5479]","CO2Water[5844]","CO2Water[6100.842]","Cell Type"
1,0.0753,0.6144,0.6144,0.06144,16450,14874,14408,14001,13939,13769,13737,13716,13727,13725,13730,13672,13709,13659,13744,13907,13824,13735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0708,0.1178,0.1178,0.01178,16450,15066,14408,13937,13801,13630,13563,13542,13526,13530,13518,13471,13487,13451,13515,13661,13598,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0642,0.8152,0.8152,0.08152,16450,15154,14396,13891,13718,13545,13463,13440,13412,13417,13396,13354,13358,13328,13379,13517,13463,13396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0835,0.9936,0.9936,0.09936,16450,15173,14373,13853,13666,13491,13401,13378,13345,13350,13328,13287,13287,13261,13307,13443,13392,13327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0548,0.4061,0.4061,0.04061,16450,15164,14328,13792,13591,13412,13317,13292,13253,13258,13234,13194,13191,13168,13209,13343,13295,13232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0937,0.5344,0.5344,0.05344,16450,15214,14368,13825,13619,13438,13339,13312,13271,13275,13249,13208,13203,13181,13220,13353,13305,13242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0686,0.4558,0.4558,0.04558,16450,15305,14449,13900,13690,13506,13408,13381,13340,13344,13319,13280,13275,13255,13293,13428,13379,13316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.115,4.2635,4.2635,0.42635,16450,14572,13846,13341,13222,13032,12973,12946,12919,12910,12900,12844,12848,12835,12864,13114,12935,12856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0725,3.5498,3.5498,0.35498,16450,14373,13672,13176,13068,12879,12824,12798,12773,12762,12754,12697,12702,12691,12719,12984,12790,12709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0711,1.2605,1.2605,0.12605,16450,14230,13555,13069,12977,12787,12738,12713,12691,12678,12674,12614,12622,12614,12640,12931,12709,12625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
